epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.657,1.43958,1.6313,1.27329,0.86617,0.76186,0.86742,0.44694,1.58771,1.17695,1.31072,0.000665141,0.000665141,0.000665141
2,412.81,1.47785,1.22287,1.28219,0.84661,0.68753,0.78761,0.40081,1.69196,1.29931,1.3986,0.00130544,0.00130544,0.00130544
3,552.861,1.48329,1.16026,1.2964,0.83332,0.85379,0.83656,0.46101,1.55418,0.994,1.31796,0.00191933,0.00191933,0.00191933
4,673.427,1.42262,1.05631,1.27021,0.88693,0.87074,0.8964,0.51149,1.49193,0.94238,1.25874,0.0018812,0.0018812,0.0018812
5,790.748,1.38157,0.99324,1.24273,0.93946,0.89046,0.93358,0.55166,1.42131,0.82518,1.21608,0.0018416,0.0018416,0.0018416
6,907.173,1.33539,0.92626,1.21455,0.94481,0.90406,0.94521,0.57957,1.36794,0.81058,1.19426,0.001802,0.001802,0.001802
7,1024.34,1.33131,0.90557,1.21897,0.95735,0.90002,0.94536,0.58139,1.37135,0.75509,1.18823,0.0017624,0.0017624,0.0017624
8,1141.56,1.28948,0.875,1.19326,0.93886,0.90859,0.93574,0.57823,1.39242,0.7664,1.18999,0.0017228,0.0017228,0.0017228
9,1258.98,1.27042,0.84869,1.19256,0.96812,0.90562,0.96157,0.60722,1.30794,0.70529,1.1554,0.0016832,0.0016832,0.0016832
10,1376.12,1.25145,0.81399,1.17126,0.97009,0.89584,0.95739,0.60095,1.37205,0.70164,1.16838,0.0016436,0.0016436,0.0016436
11,1494.27,1.24255,0.80885,1.17171,0.95866,0.9186,0.95499,0.61251,1.28415,0.69093,1.13779,0.001604,0.001604,0.001604
12,1613.6,1.212,0.78683,1.15562,0.96752,0.91762,0.96165,0.61685,1.27087,0.66945,1.12513,0.0015644,0.0015644,0.0015644
13,1740,1.21543,0.78126,1.16136,0.9701,0.90856,0.96458,0.62471,1.27041,0.66821,1.13435,0.0015248,0.0015248,0.0015248
14,1868.02,1.20392,0.76023,1.15413,0.96605,0.91844,0.95814,0.62156,1.28305,0.65016,1.14021,0.0014852,0.0014852,0.0014852
15,1986.56,1.19591,0.73847,1.14904,0.96195,0.92708,0.96465,0.63287,1.24701,0.6377,1.11467,0.0014456,0.0014456,0.0014456
16,2101.18,1.18223,0.73158,1.141,0.97639,0.92323,0.97154,0.63527,1.25067,0.61829,1.11655,0.001406,0.001406,0.001406
17,2221.06,1.17762,0.7203,1.13229,0.96956,0.9191,0.96672,0.63771,1.23349,0.61982,1.10463,0.0013664,0.0013664,0.0013664
18,2338.04,1.1603,0.72471,1.13247,0.96198,0.94035,0.97315,0.65045,1.22976,0.61103,1.10164,0.0013268,0.0013268,0.0013268
19,2455.03,1.16051,0.70357,1.12848,0.9737,0.92326,0.97285,0.6454,1.23596,0.60447,1.11331,0.0012872,0.0012872,0.0012872
20,2571.25,1.13761,0.69291,1.11815,0.97597,0.92225,0.97138,0.64743,1.23573,0.60628,1.10797,0.0012476,0.0012476,0.0012476
21,2687.88,1.14619,0.68268,1.12034,0.9755,0.93467,0.97289,0.66813,1.19689,0.57907,1.08515,0.001208,0.001208,0.001208
22,2804.39,1.12764,0.68103,1.11718,0.98085,0.93447,0.97488,0.65822,1.20157,0.57762,1.09517,0.0011684,0.0011684,0.0011684
23,2921.37,1.13449,0.67712,1.11864,0.9697,0.93887,0.97009,0.66254,1.18844,0.58044,1.08382,0.0011288,0.0011288,0.0011288
24,3037.83,1.11722,0.66476,1.11053,0.97805,0.93705,0.97105,0.66243,1.17711,0.58052,1.08502,0.0010892,0.0010892,0.0010892
25,3154.84,1.09774,0.65488,1.10348,0.98285,0.93888,0.97639,0.66681,1.1819,0.57537,1.08326,0.0010496,0.0010496,0.0010496
26,3271.19,1.10454,0.64633,1.10258,0.97466,0.94027,0.97505,0.67085,1.17876,0.55923,1.07669,0.00101,0.00101,0.00101
27,3388.02,1.09435,0.64047,1.0967,0.97495,0.93253,0.9727,0.66935,1.17385,0.56715,1.0761,0.0009704,0.0009704,0.0009704
28,3504.41,1.07369,0.62563,1.08845,0.97618,0.94203,0.97491,0.66902,1.16669,0.54966,1.07234,0.0009308,0.0009308,0.0009308
29,3621.58,1.07957,0.62003,1.09138,0.97111,0.94181,0.97158,0.66522,1.17921,0.56734,1.08083,0.0008912,0.0008912,0.0008912
30,3737.81,1.07073,0.61558,1.08611,0.97486,0.94801,0.97696,0.66945,1.18371,0.54684,1.08017,0.0008516,0.0008516,0.0008516
31,3854.73,1.07025,0.6027,1.08381,0.97428,0.94461,0.97725,0.67902,1.15727,0.54491,1.06792,0.000812,0.000812,0.000812
32,3971.23,1.05571,0.60487,1.07576,0.98391,0.94328,0.97676,0.67681,1.16213,0.53111,1.0634,0.0007724,0.0007724,0.0007724
33,4088.14,1.04694,0.5945,1.07346,0.98509,0.93706,0.97841,0.68244,1.15415,0.53176,1.06337,0.0007328,0.0007328,0.0007328
34,4204.43,1.05481,0.59013,1.0759,0.97246,0.94986,0.98084,0.68838,1.14946,0.53001,1.06127,0.0006932,0.0006932,0.0006932
35,4321.83,1.03684,0.58762,1.07333,0.97371,0.9511,0.97737,0.68665,1.13418,0.52701,1.05586,0.0006536,0.0006536,0.0006536
36,4438.19,1.03412,0.57952,1.06828,0.98448,0.94621,0.97791,0.68812,1.13705,0.51984,1.05955,0.000614,0.000614,0.000614
37,4554.6,1.02627,0.57332,1.0616,0.98077,0.94783,0.98012,0.68812,1.13745,0.51645,1.05656,0.0005744,0.0005744,0.0005744
38,4671.39,1.02024,0.56537,1.0623,0.98184,0.95154,0.98142,0.69333,1.12899,0.5126,1.05325,0.0005348,0.0005348,0.0005348
39,4788.11,1.01289,0.5646,1.06443,0.98244,0.94914,0.98003,0.69361,1.13575,0.50323,1.05395,0.0004952,0.0004952,0.0004952
40,4905.11,0.9987,0.54524,1.0537,0.97979,0.94821,0.97999,0.69119,1.13134,0.50767,1.05424,0.0004556,0.0004556,0.0004556
41,5044.66,1.01103,0.46735,1.03468,0.98522,0.94551,0.98201,0.69046,1.128,0.50368,1.04891,0.000416,0.000416,0.000416
42,5161.42,1.00771,0.45763,1.02702,0.98192,0.94914,0.98171,0.69852,1.11517,0.49984,1.04836,0.0003764,0.0003764,0.0003764
43,5278.47,0.99077,0.44935,1.02313,0.98174,0.9463,0.97933,0.69962,1.107,0.49661,1.04487,0.0003368,0.0003368,0.0003368
44,5395.36,0.98122,0.44521,1.02142,0.98376,0.94783,0.98133,0.69755,1.11999,0.49998,1.05145,0.0002972,0.0002972,0.0002972
45,5512.85,0.97171,0.4373,1.01354,0.97943,0.95452,0.98028,0.70146,1.11441,0.49265,1.04337,0.0002576,0.0002576,0.0002576
46,5629.9,0.96437,0.43037,1.01254,0.98542,0.94866,0.9797,0.70382,1.10532,0.48801,1.04365,0.000218,0.000218,0.000218
47,5746.92,0.95322,0.42552,1.0032,0.98362,0.95306,0.97987,0.70275,1.10704,0.48868,1.04505,0.0001784,0.0001784,0.0001784
48,5864.01,0.9429,0.41719,1.00624,0.98579,0.9501,0.98061,0.70711,1.10214,0.48315,1.04363,0.0001388,0.0001388,0.0001388
49,5980.98,0.93822,0.41295,1.0004,0.97941,0.95379,0.97981,0.70888,1.09582,0.4826,1.04082,9.92e-05,9.92e-05,9.92e-05
50,6097.81,0.93324,0.40676,0.99793,0.9873,0.95029,0.97967,0.71086,1.09473,0.47906,1.04021,5.96e-05,5.96e-05,5.96e-05
