epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.457,1.02373,2.25915,1.28849,0.81661,0.65789,0.76749,0.5109,1.08047,1.84458,1.37443,0.00032,0.00032,0.00032
2,26.6426,0.99067,1.32894,1.23247,0.83868,0.61569,0.74339,0.52548,1.11481,1.89531,1.36226,0.000646932,0.000646932,0.000646932
3,36.4668,1.09262,1.28747,1.27745,0.77396,0.63076,0.70426,0.44028,1.21912,1.90855,1.48003,0.0009604,0.0009604,0.0009604
4,45.5474,1.05302,1.18608,1.24489,0.71756,0.59211,0.66661,0.44293,1.28687,1.68276,1.54504,0.0012604,0.0012604,0.0012604
5,54.7139,1.06145,1.22767,1.23959,0.69674,0.55263,0.63261,0.31803,1.6212,1.93363,2.03679,0.00154694,0.00154694,0.00154694
6,63.4653,1.05809,1.10375,1.24097,0.36668,0.53947,0.39597,0.24009,1.482,2.83893,1.74364,0.001802,0.001802,0.001802
7,72.3153,1.10212,1.12856,1.26437,0.71298,0.68643,0.73958,0.44712,1.44359,1.51448,1.72893,0.0017624,0.0017624,0.0017624
8,81.4183,1.10137,1.10538,1.25102,0.51154,0.53947,0.45098,0.21139,1.59331,1.77192,1.88203,0.0017228,0.0017228,0.0017228
9,90.0979,1.0769,1.10004,1.24355,0.69949,0.70448,0.69213,0.43054,1.41632,1.47354,1.56874,0.0016832,0.0016832,0.0016832
10,98.7767,1.02497,1.01837,1.22663,0.87307,0.81454,0.854,0.47547,1.51223,1.26945,1.73728,0.0016436,0.0016436,0.0016436
11,107.481,0.98971,0.97662,1.20308,0.78331,0.84211,0.86771,0.4855,1.31763,1.13841,1.48341,0.001604,0.001604,0.001604
12,116.198,1.00352,1.00263,1.20822,0.82547,0.76316,0.82937,0.48974,1.34711,1.15037,1.48318,0.0015644,0.0015644,0.0015644
13,125.086,0.95463,0.93822,1.17838,0.75428,0.77632,0.84734,0.48345,1.39882,1.2093,1.5831,0.0015248,0.0015248,0.0015248
14,134.209,1.00502,0.94899,1.22248,0.80276,0.76316,0.85997,0.50345,1.40497,1.04139,1.53548,0.0014852,0.0014852,0.0014852
15,143.062,0.96182,0.87548,1.18256,0.91565,0.73684,0.83947,0.53393,1.25831,0.95881,1.44784,0.0014456,0.0014456,0.0014456
16,152.026,0.9167,0.83725,1.17275,0.77491,0.54364,0.67508,0.45945,1.23168,1.44752,1.43856,0.001406,0.001406,0.001406
17,160.845,0.9412,0.87522,1.17475,0.87826,0.68421,0.80781,0.53797,1.21645,1.06351,1.43264,0.0013664,0.0013664,0.0013664
18,169.718,0.9134,0.80965,1.17182,0.74128,0.78947,0.83131,0.55614,1.19081,0.9399,1.33999,0.0013268,0.0013268,0.0013268
19,178.759,0.90592,0.83939,1.15966,0.77666,0.75,0.8046,0.53901,1.16251,1.00648,1.36897,0.0012872,0.0012872,0.0012872
20,187.241,0.95181,0.81058,1.1754,0.84194,0.76316,0.82877,0.55383,1.1892,0.86914,1.36058,0.0012476,0.0012476,0.0012476
21,195.807,0.90995,0.80018,1.14761,0.85873,0.75,0.85601,0.59147,1.166,0.85299,1.32555,0.001208,0.001208,0.001208
22,204.382,0.87255,0.75999,1.12289,0.89556,0.88158,0.91241,0.64442,1.04795,0.75399,1.23482,0.0011684,0.0011684,0.0011684
23,213.019,0.91818,0.79975,1.15194,0.86188,0.90317,0.91434,0.6227,1.1886,0.78073,1.32672,0.0011288,0.0011288,0.0011288
24,222.06,0.88457,0.74011,1.13166,0.9159,0.85978,0.91329,0.63417,1.08228,0.79261,1.22901,0.0010892,0.0010892,0.0010892
25,230.605,0.82142,0.69037,1.07299,0.85267,0.85526,0.91903,0.64673,1.08059,0.74287,1.24155,0.0010496,0.0010496,0.0010496
26,239.531,0.86574,0.70039,1.13252,0.81673,0.88158,0.90355,0.66677,1.0503,0.72382,1.19267,0.00101,0.00101,0.00101
27,248.055,0.81658,0.70959,1.10084,0.87953,0.86842,0.89796,0.63698,1.06967,0.7545,1.2573,0.0009704,0.0009704,0.0009704
28,256.755,0.82215,0.68246,1.09426,0.82136,0.85526,0.90107,0.65058,1.07592,0.74087,1.27368,0.0009308,0.0009308,0.0009308
29,265.447,0.79242,0.67163,1.08598,0.88813,0.83574,0.89893,0.65793,1.07712,0.72718,1.21179,0.0008912,0.0008912,0.0008912
30,274.148,0.77444,0.65049,1.07266,0.9394,0.81584,0.91555,0.66775,1.00215,0.64916,1.21181,0.0008516,0.0008516,0.0008516
31,282.778,0.80842,0.64295,1.09923,0.94035,0.82964,0.94841,0.6826,1.00984,0.61327,1.21808,0.000812,0.000812,0.000812
32,291.851,0.76153,0.62285,1.08921,0.8802,0.93421,0.93637,0.68054,1.03776,0.61198,1.22816,0.0007724,0.0007724,0.0007724
33,300.585,0.78258,0.64031,1.0765,0.94357,0.88008,0.91779,0.67889,1.047,0.63242,1.23703,0.0007328,0.0007328,0.0007328
34,309.597,0.72078,0.57909,1.04954,0.91594,0.86031,0.91819,0.693,0.99627,0.60236,1.16993,0.0006932,0.0006932,0.0006932
35,318.547,0.70274,0.57269,1.07158,0.95367,0.81266,0.9125,0.71323,0.92939,0.62755,1.13235,0.0006536,0.0006536,0.0006536
36,327.483,0.73433,0.56843,1.06588,0.92585,0.85526,0.91299,0.70591,0.94917,0.64936,1.15332,0.000614,0.000614,0.000614
37,335.999,0.68384,0.55152,1.03215,0.93991,0.84211,0.91838,0.69643,0.98861,0.61562,1.18268,0.0005744,0.0005744,0.0005744
38,344.88,0.67812,0.55107,1.03236,0.92736,0.83997,0.91541,0.69133,1.01413,0.61104,1.23692,0.0005348,0.0005348,0.0005348
39,353.682,0.66692,0.53649,1.03188,0.97008,0.85325,0.928,0.68692,1.03131,0.60009,1.28111,0.0004952,0.0004952,0.0004952
40,362.721,0.67535,0.54944,1.04423,0.95206,0.88158,0.90846,0.68623,1.06605,0.6197,1.25987,0.0004556,0.0004556,0.0004556
41,398.668,0.55431,0.54341,0.94523,0.89416,0.82895,0.8795,0.66043,1.07691,0.72139,1.28067,0.000416,0.000416,0.000416
42,407.791,0.53503,0.47671,0.93698,0.95393,0.81728,0.89509,0.68469,1.06623,0.70324,1.27968,0.0003764,0.0003764,0.0003764
43,416.585,0.51565,0.44136,0.9241,0.90488,0.8762,0.9269,0.69124,1.01237,0.60712,1.22604,0.0003368,0.0003368,0.0003368
44,425.376,0.51009,0.39931,0.90297,0.96156,0.80263,0.91142,0.70334,1.00159,0.62958,1.20867,0.0002972,0.0002972,0.0002972
45,433.805,0.50715,0.42441,0.92039,0.85955,0.8858,0.91671,0.69495,0.98101,0.61746,1.21407,0.0002576,0.0002576,0.0002576
46,442.595,0.50459,0.39567,0.92362,0.90409,0.86822,0.91971,0.69492,1.00275,0.5711,1.24365,0.000218,0.000218,0.000218
47,451.406,0.4976,0.39201,0.91483,0.92846,0.85387,0.92382,0.69417,0.99321,0.559,1.22993,0.0001784,0.0001784,0.0001784
48,460.356,0.4831,0.39194,0.91043,0.92824,0.85102,0.91665,0.68726,1.01012,0.56914,1.2588,0.0001388,0.0001388,0.0001388
49,469.144,0.47904,0.37173,0.89548,0.93406,0.85526,0.91794,0.69384,1.04218,0.58089,1.27265,9.92e-05,9.92e-05,9.92e-05
