epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6945,1.93191,2.42446,1.6125,0.53069,0.44768,0.46062,0.19601,2.00526,2.14527,1.73448,0.000553033,0.000553033,0.000553033
2,128.476,1.89002,1.90813,1.55693,0.55018,0.50242,0.50235,0.22707,1.95575,1.81857,1.75504,0.00108675,0.00108675,0.00108675
3,187.812,1.89372,1.82224,1.57455,0.50501,0.50289,0.46309,0.2068,2.04691,1.86089,1.78368,0.00159846,0.00159846,0.00159846
4,242.969,1.87572,1.75599,1.57459,0.51297,0.47127,0.47982,0.22446,2.03127,1.85299,1.77215,0.00156798,0.00156798,0.00156798
5,297.316,1.82833,1.6548,1.53756,0.52299,0.57309,0.57032,0.27172,1.93019,1.68431,1.6746,0.00153497,0.00153497,0.00153497
6,352.16,1.82266,1.60732,1.53446,0.62955,0.58842,0.60063,0.28851,2.00148,1.5732,1.72223,0.00150197,0.00150197,0.00150197
7,406.452,1.81782,1.60105,1.54071,0.63927,0.57659,0.61776,0.30219,1.87137,1.5642,1.62951,0.00146896,0.00146896,0.00146896
8,461.682,1.78136,1.53545,1.51254,0.66045,0.58903,0.63872,0.31684,1.88665,1.55355,1.68038,0.00143595,0.00143595,0.00143595
9,517.994,1.74117,1.50617,1.49277,0.63841,0.5685,0.61728,0.30218,1.92027,1.58608,1.6618,0.00140295,0.00140295,0.00140295
10,1826.2,1.7506,1.48396,1.50225,0.62213,0.58332,0.61257,0.29857,1.88513,1.52264,1.64776,0.00136994,0.00136994,0.00136994
11,1859.94,1.75205,1.48594,1.48293,0.6375,0.59741,0.65239,0.334,1.86652,1.41674,1.65162,0.00133693,0.00133693,0.00133693
12,1893.94,1.71736,1.43562,1.45969,0.62268,0.60648,0.63434,0.30748,1.90334,1.50586,1.63482,0.00130393,0.00130393,0.00130393
13,1940.67,1.70728,1.42423,1.46486,0.61707,0.64468,0.64643,0.32752,1.85087,1.39108,1.64817,0.00127092,0.00127092,0.00127092
14,1997.63,1.70608,1.40815,1.46493,0.68742,0.66521,0.69605,0.35781,1.83308,1.33826,1.62834,0.00123791,0.00123791,0.00123791
15,2053.18,1.71486,1.39534,1.47141,0.65968,0.66378,0.69037,0.36416,1.81184,1.32396,1.62151,0.00120491,0.00120491,0.00120491
16,2108.88,1.69639,1.37804,1.46371,0.69504,0.65873,0.68854,0.34536,1.87617,1.33574,1.66459,0.0011719,0.0011719,0.0011719
17,2164.49,1.66701,1.36483,1.44994,0.69475,0.66251,0.70448,0.36042,1.81632,1.32476,1.62708,0.00113889,0.00113889,0.00113889
18,2220.49,1.66343,1.32846,1.42988,0.69346,0.65781,0.69686,0.35868,1.84321,1.32591,1.60024,0.00110589,0.00110589,0.00110589
19,2276.65,1.66051,1.34294,1.43195,0.67509,0.68212,0.69755,0.36862,1.80155,1.27973,1.58737,0.00107288,0.00107288,0.00107288
20,2332.46,1.65579,1.32308,1.42834,0.68308,0.64633,0.69926,0.36372,1.83806,1.32194,1.60356,0.00103987,0.00103987,0.00103987
21,2387.76,1.65554,1.30563,1.43104,0.70333,0.68346,0.71455,0.37157,1.83064,1.28322,1.63467,0.00100687,0.00100687,0.00100687
22,2441.54,1.63188,1.29452,1.41851,0.70728,0.68399,0.71825,0.37606,1.79661,1.27538,1.58818,0.000973861,0.000973861,0.000973861
23,9545.09,1.62046,1.28252,1.41181,0.69453,0.65133,0.70384,0.37256,1.81381,1.28222,1.60243,0.000940855,0.000940855,0.000940855
24,9579.79,1.62739,1.27686,1.41563,0.70711,0.6831,0.71455,0.37295,1.81846,1.2462,1.61373,0.000907848,0.000907848,0.000907848
25,9634.19,1.61193,1.26018,1.40202,0.69234,0.68546,0.71895,0.37501,1.79787,1.25852,1.58464,0.000874842,0.000874842,0.000874842
26,9724.08,1.61157,1.25224,1.39322,0.71662,0.66719,0.72887,0.38052,1.81594,1.281,1.59531,0.000841835,0.000841835,0.000841835
27,9815.2,1.61195,1.24073,1.39802,0.70402,0.67895,0.71634,0.36819,1.79459,1.30463,1.58206,0.000808828,0.000808828,0.000808828
28,9904.15,1.5912,1.22344,1.39315,0.71079,0.71912,0.73958,0.38891,1.78966,1.23737,1.58978,0.000775822,0.000775822,0.000775822
29,9995.85,1.59911,1.20875,1.39154,0.70608,0.70293,0.73338,0.38724,1.7807,1.26426,1.58558,0.000742815,0.000742815,0.000742815
30,10089.4,1.58415,1.22334,1.38636,0.737,0.69284,0.74786,0.39083,1.80927,1.20783,1.59795,0.000709809,0.000709809,0.000709809
31,10180.1,1.57708,1.2066,1.38588,0.70552,0.70956,0.73703,0.38748,1.81201,1.20338,1.61763,0.000676802,0.000676802,0.000676802
32,10261.5,1.57059,1.18352,1.38614,0.69461,0.71632,0.73554,0.39229,1.79125,1.22116,1.57946,0.000643795,0.000643795,0.000643795
33,10353.1,1.57514,1.18124,1.37979,0.70591,0.71794,0.75018,0.39934,1.79385,1.22637,1.60884,0.000610789,0.000610789,0.000610789
34,10444.4,1.56961,1.1857,1.38152,0.72191,0.7188,0.75133,0.39546,1.81369,1.18832,1.61932,0.000577782,0.000577782,0.000577782
35,10536.8,1.55933,1.16723,1.37518,0.72291,0.73154,0.75189,0.39649,1.81401,1.1869,1.61429,0.000544776,0.000544776,0.000544776
36,10626.8,1.53736,1.1526,1.36903,0.68883,0.71349,0.73717,0.3918,1.7962,1.2093,1.6185,0.000511769,0.000511769,0.000511769
37,10718.1,1.54508,1.15814,1.36463,0.72357,0.72444,0.74728,0.39715,1.80789,1.18856,1.59683,0.000478762,0.000478762,0.000478762
38,10808.4,1.51562,1.11762,1.34643,0.72852,0.71752,0.74978,0.39862,1.79905,1.17696,1.57863,0.000445756,0.000445756,0.000445756
39,10897,1.52746,1.14512,1.35525,0.7153,0.72316,0.75102,0.40208,1.80059,1.1789,1.59653,0.000412749,0.000412749,0.000412749
40,10987.1,1.51257,1.11851,1.3414,0.72568,0.72832,0.75327,0.40828,1.79331,1.17256,1.59004,0.000379743,0.000379743,0.000379743
41,11100.9,1.52085,1.01504,1.37228,0.72964,0.74544,0.76099,0.40427,1.82134,1.16327,1.60566,0.000346736,0.000346736,0.000346736
42,11191.5,1.50868,0.99036,1.3611,0.72155,0.71579,0.75429,0.408,1.8021,1.15808,1.60774,0.000313729,0.000313729,0.000313729
43,11282.4,1.5049,0.97964,1.36213,0.72695,0.72023,0.76507,0.40993,1.79889,1.15392,1.59725,0.000280723,0.000280723,0.000280723
44,11369.5,1.49342,0.96399,1.35883,0.73497,0.7333,0.75939,0.41003,1.80978,1.13078,1.60897,0.000247716,0.000247716,0.000247716
45,11459.8,1.48886,0.94872,1.35159,0.75229,0.70888,0.76094,0.40815,1.80151,1.15172,1.59389,0.00021471,0.00021471,0.00021471
46,11547.2,1.47116,0.95343,1.34298,0.7245,0.72295,0.75478,0.40313,1.79589,1.15642,1.5966,0.000181703,0.000181703,0.000181703
47,11632.9,1.46454,0.93552,1.33239,0.73906,0.732,0.76986,0.40836,1.80358,1.13879,1.59837,0.000148696,0.000148696,0.000148696
48,11723,1.45365,0.91025,1.32418,0.7456,0.73049,0.76996,0.41238,1.80102,1.12888,1.59746,0.00011569,0.00011569,0.00011569
49,11805.9,1.45837,0.92209,1.3295,0.73996,0.73605,0.77297,0.41713,1.79652,1.12604,1.59237,8.26832e-05,8.26832e-05,8.26832e-05
50,11865,1.44611,0.90119,1.317,0.74173,0.72607,0.76497,0.41104,1.80624,1.12016,1.59973,4.96766e-05,4.96766e-05,4.96766e-05
